D.O.B,Time,Gender,location,District,state
2015-02-12,05:30:00,Female,Parvathipuram,Visakhapatnam,Andhra pradesh
2016-10-25,10:30:00,Female,Parvathipuram,Visakhapatnam,Andhra pradesh
2020-01-18,12:30:00,Male,Parvathipuram,Vizianagaram,Andhra pradesh
2018-12-15,10:00:00,Female,Parvathipuram,Vizianagaram,Andhra pradesh
1976-12-18,03:30:00,Female,Parvathipuram,Vizianagaram,Andhra pradesh
2008-03-21,08:30:00,Female,Parvathipuram,Vizianagaram,Andhra pradesh
2010-12-24,08:00:00,Female,Parvathipuram,Vizianagaram,Andhra pradesh
2015-07-24,08:15:00,Male,Town Kotha road,Visakhapatnam,Andhra pradesh
2020-01-16,04:20:00,Female,Town Kotha road,Visakhapatnam,Andhra pradesh
2019-01-19,13:00:00,Female,Town Kotha road,Visakhapatnam,Andhra pradesh
2021-06-19,10:30:00,Male,Town Kotha road,Visakhapatnam,Andhra pradesh
1985-05-31,11:15:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2020-12-22,12:15:00,Female,RIMS,Srikakulam,Andhra pradesh
2017-04-25,11:17:00,Female,RIMS,Srikakulam,Andhra pradesh
2012-03-08,23:45:00,Male,RIMS,Srikakulam,Andhra pradesh
2013-07-17,17:39:00,Male,RIMS,Srikakulam,Andhra pradesh
2014-02-18,11:45:00,Male,RIMS,Srikakulam,Andhra pradesh
2002-06-05,12:15:00,Male,RIMS,Srikakulam,Andhra pradesh
1996-05-12,15:55:00,Male,RIMS,Srikakulam,Andhra pradesh
1992-08-02,01:45:00,Male,RIMS,Srikakulam,Andhra pradesh
1996-05-16,03:35:00,Female,RIMS,Srikakulam,Andhra pradesh
1995-08-12,20:45:00,Male,RIMS,Srikakulam,Andhra pradesh
1998-02-15,13:37:00,Male,RIMS,Srikakulam,Andhra pradesh
1995-03-12,12:55:00,Male,RIMS,Srikakulam,Andhra pradesh
1998-02-15,11:47:00,Male,RIMS,Srikakulam,Andhra pradesh
1992-07-12,19:11:00,Male,RIMS,Srikakulam,Andhra pradesh
1998-12-10,10:45:00,Female,RIMS,Srikakulam,Andhra pradesh
1995-06-22,07:25:00,Female,RIMS,Srikakulam,Andhra pradesh
1995-08-26,11:27:00,Male,RIMS,Srikakulam,Andhra pradesh
1996-05-28,08:45:00,Female,RIMS,Srikakulam,Andhra pradesh
1992-08-09,07:11:00,Female,RIMS,Srikakulam,Andhra pradesh
2014-04-17,11:11:00,Male,RIMS,Srikakulam,Andhra pradesh
2015-12-06,15:45:00,Male,RIMS,Srikakulam,Andhra pradesh
1984-04-20,18:30:00,Male,RIMS,Srikakulam,Andhra pradesh
1986-01-31,22:30:00,Female,RIMS,Srikakulam,Andhra pradesh
1999-07-10,10:30:00,Male,RIMS,Srikakulam,Andhra pradesh
1999-08-15,09:30:00,Male,RIMS,Srikakulam,Andhra pradesh
2001-06-10,20:30:00,Male,RIMS,Srikakulam,Andhra pradesh
1999-04-05,07:55:00,Male,RIMS,Srikakulam,Andhra pradesh
2003-07-07,12:33:00,Male,RIMS,Srikakulam,Andhra pradesh
1990-08-16,20:30:00,Female,RIMS,Srikakulam,Andhra pradesh
1996-04-02,07:30:00,Female,RIMS,Srikakulam,Andhra pradesh
1998-05-07,18:30:00,Female,RIMS,Srikakulam,Andhra pradesh
2006-07-06,19:30:00,Male,RIMS,Srikakulam,Andhra pradesh
1998-02-25,08:50:00,Female,RIMS,Srikakulam,Andhra pradesh
1999-05-06,09:30:00,Male,RIMS,Srikakulam,Andhra pradesh
1999-12-12,05:30:00,Male,RIMS,Srikakulam,Andhra pradesh
1999-06-03,19:55:00,Female,RIMS,Srikakulam,Andhra pradesh
1999-10-12,07:20:00,Male,RIMS,Srikakulam,Andhra pradesh
1999-07-22,09:30:00,Male,RIMS,Srikakulam,Andhra pradesh
1996-04-18,16:30:00,Male,RIMS,Srikakulam,Andhra pradesh
1995-08-01,07:30:00,Male,RIMS,Srikakulam,Andhra pradesh
1994-02-08,22:35:00,Male,RIMS,Srikakulam,Andhra pradesh
1992-03-16,12:50:00,Male,RIMS,Srikakulam,Andhra pradesh
1996-04-05,07:30:00,Male,RIMS,Srikakulam,Andhra pradesh
1992-06-09,08:30:00,Male,RIMS,Srikakulam,Andhra pradesh
2018-01-13,11:45:00,Male,Parvathipuram,Visakhapatnam,Andhra pradesh
1997-09-11,17:30:00,Male,Parvathipuram,Visakhapatnam,Andhra pradesh
1999-11-07,12:45:00,Female,Bobbili,Vizianagaram,Andhra pradesh
2008-03-12,03:30:00,Female,Akkayapalem,Visakhapatnam,Andhra pradesh
2010-03-20,05:55:00,Male,Akkayapalem,Visakhapatnam,Andhra pradesh
2020-07-06,06:15:00,Female,Akkayapalem,Visakhapatnam,Andhra pradesh
1992-02-12,04:55:00,Male,RIMS,Srikakulam,Andhra pradesh
1986-10-13,22:45:00,Female,RIMS,Srikakulam,Andhra pradesh
1980-12-05,06:05:00,Male,Gollaprodu,East Godavari,Andhra pradesh
2008-09-05,06:15:00,Male,Prathipadu,East Godavari,Andhra pradesh
2011-08-23,06:10:00,Female,Prathipadu,East Godavari,Andhra pradesh
2005-05-06,06:30:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2011-03-30,14:30:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
1996-04-24,07:20:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2011-04-02,20:20:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
1995-07-31,14:10:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
1996-10-31,05:00:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
1990-12-28,06:30:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
1990-12-28,06:30:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
1999-06-25,09:00:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2001-05-06,16:40:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2018-11-19,20:30:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2020-07-31,20:00:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2002-04-09,17:20:00,Female,Rayagada,Rayagada,Andhra pradesh
2007-04-11,08:05:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2019-11-22,19:33:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2021-12-06,21:33:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2015-05-19,17:30:00,Male,Garividi PHC,Vizianagaram,Andhra pradesh
2020-12-31,13:30:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2016-11-19,11:30:00,Female,Garividi PHC,Vizianagaram,Andhra pradesh
2021-01-18,11:00:00,Female,Venkat Ramana Hpt,Vizianagaram,Andhra pradesh
2013-05-23,13:10:00,Female,Sai Rsngs Hpt,Vizianagaram,Andhra pradesh
2020-10-23,16:30:00,Male,Venkat Ramana Hpt,Vizianagaram,Andhra pradesh
1992-09-16,15:00:00,Female,Bhogapuram,Vizianagaram,Andhra pradesh
2011-09-14,13:00:00,Male,Mudidam,Vizianagaram,Andhra pradesh
2011-07-17,16:00:00,Male,Subadhramma,Vizianagaram,Andhra pradesh
2014-09-25,15:30:00,Female,Sai Rama Hpt,Vizianagaram,Andhra pradesh
1999-08-26,11:45:00,Female,Gosh Hpt,Vizianagaram,Andhra pradesh
2001-02-08,11:30:00,Male,Gosh Hpt,Vizianagaram,Andhra pradesh
1985-08-22,12:45:00,Female,Donkada,Vizianagaram,Andhra pradesh
1979-03-30,11:30:00,Male,Donkada,Vizianagaram,Andhra pradesh
2010-08-16,12:01:00,Male,Donkada,Vizianagaram,Andhra pradesh
2014-09-22,02:44:00,Female,Donkada,Vizianagaram,Andhra pradesh
2009-03-09,12:45:00,Female,Donkada,Vizianagaram,Andhra pradesh
2011-01-06,06:14:00,Female,Donkada,Vizianagaram,Andhra pradesh
2016-11-29,11:54:00,Male,Donkada,Vizianagaram,Andhra pradesh
2021-10-22,03:45:00,Female,Donkada,Vizianagaram,Andhra pradesh
2020-01-11,10:00:00,Male,Vizianagaram,Vizianagaram,Andhra pradesh
2021-09-15,11:00:00,Female,Vizianagaram,Vizianagaram,Andhra pradesh
2011-01-23,07:30:00,Male,Srikakulam,Srikakulam,Andhra pradesh
2008-10-17,12:10:00,Female,Vizianagaram,Vizianagaram,Andhra pradesh
2012-05-18,15:15:00,Male,Rajam,Rajam,Andhra pradesh
2009-08-30,10:55:00,Male,Vizianagaram,Vizianagaram,Andhra pradesh
2013-07-01,07:50:00,Female,Vizianagaram,Vizianagaram,Andhra pradesh
2015-03-19,05:30:00,Male,Vizianagaram,Vizianagaram,Andhra pradesh
2017-12-29,07:30:00,Male,Vizianagaram,Vizianagaram,Andhra pradesh
2002-02-05,09:30:00,Female,Vizianagaram,Vizianagaram,Andhra pradesh
2010-03-27,10:10:00,Male,Vizianagaram,Vizianagaram,Andhra pradesh
2012-10-31,16:20:00,Male,Vizianagaram,Vizianagaram,Andhra pradesh
2015-10-11,13:30:00,Male,Vizianagaram,Vizianagaram,Andhra pradesh
1999-12-24,04:10:00,Male,Vizianagaram,Vizianagaram,Andhra pradesh
2003-10-20,07:00:00,Male,Vizianagaram,Vizianagaram,Andhra pradesh
1977-04-02,16:00:00,Male,Parvathipuram,Vizianagaram,Andhra pradesh
1986-11-22,14:00:00,Female,Vizag,Vizag,Andhra pradesh
1988-11-22,07:35:00,Female,kakinada ,Kakinada,Andhra pradesh
2014-07-24,18:00:00,Male,Vizianagaram,Vizianagaram,Andhra pradesh
2016-12-14,16:50:00,Female,Vizianagaram,Vizianagaram,Andhra pradesh
1997-09-23,17:40:00,Female,Salooru,Vizianagaram,Andhra pradesh
1999-02-16,18:00:00,Male,Salooru,Vizianagaram,Andhra pradesh
2006-02-28,17:32:00,Male,Vizag,vizag,Andhra pradesh
1988-01-26,06:30:00,Female,Anakapalli,Vizag,Andhra pradesh
1991-09-01,11:00:00,Female,Mokalapadu,Vizianagaram,Andhra pradesh
1986-08-02,,Female,Kintali,Srikakulam,Andhra pradesh
1986-09-03,14:00:00,Male,Mokalapadu,Vizianagaram,Andhra pradesh
2016-04-14,17:00:00,Female,Vizianagaram,Vizianagaram,Andhra pradesh
2021-02-23,21:00:00,Female,Vizianagaram,Vizianagaram,Andhra pradesh
2009-01-31,15:00:00,Male,Vizag,Vizag,Andhra pradesh
2011-11-25,06:00:00,Male,Vizag,Vizag,Andhra pradesh
2005-10-20,13:00:00,Male,Vizianagaram,Vizianagaram,Andhra pradesh
2016-03-23,15:02:00,Female,Vizianagaram,Vizianagaram,Andhra pradesh
2012-04-04,18:10:00,Female,Vizianagaram,Vizianagaram,Andhra pradesh
2009-10-02,10:00:00,Female,Vizianagaram,Vizianagaram,Andhra pradesh
2005-09-09,09:30:00,Male,Vizianagaram,Vizianagaram,Andhra pradesh
2009-01-14,04:30:00,Female,Vizag,Vizag,Andhra pradesh
2019-03-01,16:00:00,Female,Vizag,Vizag,Andhra pradesh
2005-01-10,12:55:00,Female,Vizag,Vizag,Andhra pradesh
2005-09-17,09:00:00,Male,Vijayawada,Vijayawada,Andhra pradesh
2005-11-23,11:30:00,Male,Vijayawada,Vijayawada,Andhra pradesh
2006-06-26,11:00:00,Male,Vijayawada,Vijayawada,Andhra pradesh
2003-03-06,18:05:00,Male,Vizianagaram,Vizianagaram,Andhra pradesh
2009-01-05,14:43:00,Male,Vizianagaram,Vizianagaram,Andhra pradesh
2014-06-27,10:02:00,Female,Vizianagaram,Vizianagaram,Andhra pradesh
2001-09-16,12:35:00,Male,Vizianagaram,Vizianagaram,Andhra pradesh
2013-08-29,11:00:00,Male,Vizianagaram,Vizianagaram,Andhra pradesh
2018-05-30,10:00:00,Male,Vizianagaram,Vizianagaram,Andhra pradesh
2012-11-15,05:30:00,Male,Vijayawada,Vijayawada,Andhra pradesh
2014-10-24,04:25:00,Female,Vizianagaram,Vizianagaram,Andhra pradesh
2016-10-16,09:15:00,Female,Vizianagaram,Vizianagaram,Andhra pradesh
2017-10-08,13:00:00,Female,Vizianagaram,Vizianagaram,Andhra pradesh
2011-10-24,10:00:00,Male,Vizianagaram,Vizianagaram,Andhra pradesh
2014-11-02,06:30:00,Female,kakinada ,Visakhapatnam,Andhra pradesh
2018-11-23,03:30:00,Female,kakinada ,Visakhapatnam,Andhra pradesh
2014-02-25,11:30:00,Male,Vizianagaram,Vizianagaram,Andhra pradesh
2015-12-24,14:30:00,Female,Vizianagaram,Vizianagaram,Andhra pradesh
2008-05-08,13:15:00,Male,Vizianagaram,Vizianagaram,Andhra pradesh
2009-03-14,13:15:00,Male,Vizianagaram,Vizianagaram,Andhra pradesh
2011-10-08,10:05:00,Female,S.kota,Vizianagaram,Andhra pradesh
2007-02-01,15:00:00,Male,Vizianagaram,Vizianagaram,Andhra pradesh
2003-03-04,12:30:00,Male,Vizianagaram,Vizianagaram,Andhra pradesh
2011-12-02,11:00:00,Female,Vizianagaram,Vizianagaram,Andhra pradesh
2006-06-17,12:11:00,Male,Vizianagaram,Vizianagaram,Andhra pradesh
2009-09-25,12:05:00,Female,Vizianagaram,Vizianagaram,Andhra pradesh
2011-12-06,14:00:00,Male,Bharampur,Odisha,Odisha
2017-04-11,10:00:00,Female,Vizianagaram,Vizianagaram,Andhra pradesh
2003-07-16,02:45:00,Male,Hyderabad,Telangana,Telangana
1999-06-29,08:00:00,Male,Guntur,Guntur,Andhra pradesh
2000-01-01,12:00:00,Male,Macherla,Guntur,Andhra pradesh
2001-02-18,17:35:00,Male,Guntur,Guntur,Andhra pradesh
2001-10-24,14:56:00,Male,Chennai,Chennai,Chennai
2000-02-07,11:20:00,Female,Guntur,Guntur,Andhra pradesh
1999-12-18,14:30:00,Female,Guntur,Guntur,Andhra pradesh
1999-08-27,14:20:00,Female,Guntur,Guntur,Andhra pradesh
1998-09-21,03:30:00,Female,Guntakal,Anantapur,Andhra pradesh
1999-11-18,09:59:00,Male,Guntur,Guntur,Andhra pradesh
2000-04-22,11:49:00,Male,Chilakaluripeta,Guntur,Andhra pradesh
2000-06-20,18:45:00,Male,Guntur,Guntur,Andhra pradesh
2000-07-20,12:43:00,Female,Guntur,Guntur,Andhra pradesh
1997-08-01,05:30:00,Female,Guntur,Guntur,Andhra pradesh
2000-07-25,03:00:00,Female,Ponnur,Guntur,Andhra pradesh
2000-08-16,12:35:00,Male,Vemuliripadu,Guntur,Andhra pradesh
1997-07-11,19:30:00,Male,Guntur,Guntur,Andhra pradesh
1999-09-16,21:30:00,Male,Vijayawada,Vijayawada,Andhra pradesh
2000-10-05,07:36:00,Male,Narasaraopet,Guntur,Andhra pradesh
1999-12-27,09:30:00,Male,Nellore,Nellore,Andhra pradesh
2001-03-22,03:40:00,Female,Guntur,Guntur,Andhra pradesh
1999-02-19,05:46:00,Male,Guntur,Guntur,Andhra pradesh
2000-02-21,06:38:00,Female,Guntur,Guntur,Andhra pradesh
2000-04-26,12:50:00,Female,Guntur,Guntur,Andhra pradesh
2000-08-12,20:43:00,Male,Nellore,Nellore,Andhra pradesh
2000-01-03,12:30:00,Female,Narasaraopet,Guntur,Andhra pradesh
2000-04-30,18:30:00,Female,Tenali,Guntur,Andhra pradesh
2003-05-24,14:32:00,Male,Chennai,Chennai,Chennai
1999-10-15,19:30:00,Female,Karlapudi,Guntur,Andhra pradesh
2002-08-07,19:30:00,Female,Kj Hpt,Guntur,Andhra pradesh
2000-03-05,17:00:00,Male,Cherukupalli Hpt,Guntur,Andhra pradesh
1999-09-03,06:30:00,Male,Narasaraopet,Guntur,Andhra pradesh
2000-08-20,09:49:00,Male,Guntur,Guntur,Andhra pradesh
1998-07-24,08:00:00,Male,Gajuwaka,Vizag,Andhra pradesh
1999-11-19,19:00:00,Male,Guntur,Guntur,Andhra pradesh
2002-08-28,13:05:00,Female,Potluru,Guntur,Andhra pradesh
1999-10-20,22:50:00,Male,Guntur,Guntur,Andhra pradesh
2000-06-03,20:12:00,Male,Guntur,Guntur,Andhra pradesh
2001-03-01,08:41:00,Male,Tenali,Guntur,Andhra pradesh
1999-06-12,08:00:00,Male,Guntur,Guntur,Andhra pradesh
1999-11-25,21:15:00,Male,Guntur,Guntur,Andhra pradesh
1999-07-28,22:30:00,Male,Guntur,Guntur,Andhra pradesh
